id,transaction_ref,predicted_label,confidence,model_used,risk_level,amount,flagged_at,reviewed
247,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-31 05:17:04,0
248,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-31 05:17:04,0
249,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-31 05:17:04,0
250,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-31 05:17:04,0
251,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-31 05:17:04,0
252,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-31 05:17:04,0
253,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-31 05:17:04,0
254,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-31 05:17:04,0
255,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-31 05:17:04,0
256,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-31 05:17:04,0
228,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-31 02:57:29,0
229,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:29,0
230,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-31 02:57:29,0
231,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:29,0
232,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-31 02:57:29,0
233,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-31 02:57:29,0
234,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-31 02:57:29,0
235,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:29,0
236,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-31 02:57:29,0
217,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
218,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
219,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
220,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
221,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
222,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
223,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
224,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
225,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
226,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-31 02:57:28,0
227,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-31 02:57:28,0
197,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
198,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
199,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
200,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
201,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
202,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
203,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
204,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
205,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
206,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
207,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:48:45,0
208,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
209,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
210,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
211,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
212,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
213,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
214,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
215,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
216,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:48:45,0
177,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
178,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
179,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
180,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
181,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
182,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
183,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
184,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
185,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
186,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
187,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:45:36,0
188,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
189,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
190,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
191,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
192,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
193,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
194,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
195,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
196,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:45:36,0
157,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
158,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
159,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
160,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
161,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
162,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
163,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
164,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
165,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
166,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
167,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:42:46,0
168,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
169,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
170,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
171,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
172,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
173,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
174,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
175,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
176,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:42:46,0
137,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
138,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
139,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
140,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
141,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
142,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
143,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
144,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
145,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
146,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
147,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:41:51,0
148,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
149,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
150,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
151,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
152,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
153,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
154,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
155,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
156,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:41:51,0
117,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
118,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
119,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
120,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
121,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
122,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
123,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
124,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
125,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
126,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
127,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:34:36,0
128,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
129,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
130,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
131,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
132,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
133,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
134,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
135,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
136,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:34:36,0
97,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
98,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
99,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
100,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
101,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
102,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
103,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
104,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
105,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
106,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
107,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:30:58,0
108,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
109,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
110,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
111,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
112,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
113,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
114,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
115,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
116,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:30:58,0
77,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
78,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
79,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
80,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
81,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
82,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
83,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
84,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
85,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
86,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
87,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:29:04,0
88,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
89,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
90,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
91,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
92,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
93,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
94,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
95,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
96,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:29:04,0
57,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
58,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
59,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
60,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
61,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
62,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
63,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
64,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
65,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
66,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
67,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:26:28,0
68,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
69,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
70,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
71,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
72,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
73,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
74,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
75,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
76,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:26:28,0
49,PRED_000033,1,0.9995,best_model,CRITICAL,0.0,2026-03-30 15:24:43,0
50,PRED_000046,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:24:43,0
51,PRED_000058,1,0.6032,best_model,MEDIUM,0.0,2026-03-30 15:24:43,0
52,PRED_000069,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:24:43,0
53,PRED_000143,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:24:43,0
54,PRED_000201,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:24:43,0
55,PRED_000253,1,0.9981,best_model,CRITICAL,0.0,2026-03-30 15:24:43,0
56,PRED_000424,1,0.9987,best_model,CRITICAL,0.0,2026-03-30 15:24:43,0
29,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
30,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
31,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
32,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
33,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
34,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
35,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
36,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
37,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
38,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
39,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:23:42,0
40,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
41,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
42,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
43,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
44,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
45,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
46,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
47,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
48,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:23:42,0
9,PRED_000018,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
10,PRED_000025,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
11,PRED_000044,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
12,PRED_000126,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
13,PRED_000137,1,0.9788,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
14,PRED_000164,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
15,PRED_000330,1,0.9496,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
16,PRED_000362,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
17,PRED_000401,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
18,PRED_000423,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
19,PRED_000448,1,0.8391,best_model,HIGH,0.0,2026-03-30 15:22:23,0
20,PRED_000631,1,0.997,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
21,PRED_000656,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
22,PRED_000695,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
23,PRED_000704,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
24,PRED_000789,1,0.9988,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
25,PRED_000828,1,0.96,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
26,PRED_000838,1,0.9997,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
27,PRED_000944,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
28,PRED_000999,1,0.9993,best_model,CRITICAL,0.0,2026-03-30 15:22:23,0
1,PRED_000033,1,0.9995,best_model,CRITICAL,0.0,2026-03-30 15:19:53,0
2,PRED_000046,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:19:53,0
3,PRED_000058,1,0.6032,best_model,MEDIUM,0.0,2026-03-30 15:19:53,0
4,PRED_000069,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:19:53,0
5,PRED_000143,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:19:53,0
6,PRED_000201,1,1.0,best_model,CRITICAL,0.0,2026-03-30 15:19:53,0
7,PRED_000253,1,0.9981,best_model,CRITICAL,0.0,2026-03-30 15:19:53,0
8,PRED_000424,1,0.9987,best_model,CRITICAL,0.0,2026-03-30 15:19:53,0
